organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_303,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
bin_304,,1.0,1.0,3.0,5.0,,1.0,,2.0,2.0,3.0,,,5.0,1.0,2.0,,4.0,4.0,3.0,1.0,1.0,3.0
bin_305,1.0,1.0,,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,,,3.0
bin_306,1.0,,1.0,3.0,3.0,1.0,,,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,,,2.0
bin_307,,,1.0,3.0,4.0,1.0,1.0,,3.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,,1.0,2.0
bin_308,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,4.0,1.0,2.0,,3.0,6.0,1.0,1.0,,2.0
bin_309,1.0,,1.0,4.0,5.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,7.0,2.0,3.0,1.0,3.0,5.0,1.0,,,3.0
bin_31,,,,1.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,,4.0,2.0,2.0,1.0,3.0,4.0,3.0,,1.0,2.0
bin_310,1.0,,1.0,2.0,7.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,,5.0,1.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0
bin_311,,,,1.0,2.0,,2.0,1.0,1.0,,2.0,,,3.0,1.0,3.0,,,,,,,3.0
bin_312,,,,2.0,4.0,1.0,2.0,,1.0,1.0,1.0,1.0,,3.0,2.0,3.0,2.0,3.0,4.0,1.0,,,3.0
