"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_90, Bacteria, Desulfobacterota, Desulfobacteria, Desulfobacterales, Desulfatirhabdiaceae, RAAP~1","bin_90","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfatirhabdiaceae","RAAP~1","",0.105881518,1.857385699,0,0.309304855,0.549983028,2.509756262,4.937458678,75.91824286,18.14984401,12.63899383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_1, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae","bin_1","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","","",0,0,0.052426071,1.251690832,3.680655647,56.25269664,0.074089781,0.043692559,0.088376948,0.034765173,0,0,0,0,0,0.037198196,0.06628445,0,0.101208401,0,0.030593375,0,0,0,0,0.037947854,0,5
"bin_366, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Salinivirgaceae","bin_366","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Salinivirgaceae","","",6.943653182,104.0455192,0,0.048145235,0.069204945,0,0.079615781,0.058221114,0.075384177,0.04640778,0,0,0,0,0,0,0,0,0,0,0.045077874,0.209560014,0,0,0,0,0,5
"bin_246, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prolixibacteraceae, Draconibacterium","bin_246","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium","",0,0,0,0,0,0,2.350164697,8.139702752,7.93586536,43.65971159,0,0,0,0,0,0.122080633,0,0,0,0,0.050307724,0,0,0,0,0,0,5
"bin_104, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prolixibacteraceae, 6E","bin_104","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","6E","",0.093208055,1.928257435,0.036832345,0.474587948,0.774650333,14.3274986,0.212058442,0.828072828,0.743981591,0.739539255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_227, Bacteria, Bacteroidota, UBA10030, UBA10030, UBA10030","bin_227","Bacteria","Bacteroidota","UBA10030","UBA10030","UBA10030","","",0,0.965256067,0.080514358,1.947403982,1.870681642,37.8396259,2.860727589,27.00704149,8.954902586,6.593263044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_37, Bacteria, Cloacimonadota, Cloacimonadia, Cloacimonadales, Cloacimonadaceae","bin_37","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","","",0,0,0.04491168,2.302151361,3.315102331,18.79934644,23.32391395,1.65999074,4.290882398,6.77965116,0,0,0,0,0,0,0,0,0,0,0.033452813,0,0,0,0,0,0,5
"bin_335, Bacteria, Desulfobacterota, Desulfobacteria, Desulfobacterales, Desulfatirhabdiaceae, RAAP~1","bin_335","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfatirhabdiaceae","RAAP~1","",0.0993612,1.3987512,0,0.170636362,0.245799279,1.415998421,21.56985708,16.85910249,5.010853735,35.94327145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_275, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Lentimicrobiaceae","bin_275","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","","",0,0,0,0.816890049,1.172311781,18.36710106,1.070777299,5.853111702,24.2263157,3.503158706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_180, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Lentimicrobiaceae","bin_180","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","","",0,0,0,0.064877042,0.096540713,0.682569828,7.11319855,1.98949784,7.783258311,32.10464928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_297, Bacteria, Bacteroidota, UBA10030, UBA10030","bin_297","Bacteria","Bacteroidota","UBA10030","UBA10030","","","",0,0,0.050505667,1.144300598,1.578459058,45.40752838,1.36675341,7.491874989,6.566034458,1.659817174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_248, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_248","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0,0.132393108,0.17600527,1.271251234,16.03445476,4.287033386,5.801058915,13.02885756,2.71711514,0,0,0,0.034124869,0,0,0,0,0.111956175,0,0.075571695,0.032474115,0.242557781,0.088874634,0,0.056302682,0,5
"bin_376, Bacteria, Nitrospirota, Thermodesulfovibrionia, Thermodesulfovibrionales, UBA9935","bin_376","Bacteria","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","UBA9935","","",1.777874919,1.491757073,0.430033761,6.26916987,5.774462054,128.8068402,14.21296576,4.760834221,37.27596385,3.974540174,0.03907409,0,0.04387584,0.302552745,0.244011916,0.106927431,0.315627389,0.09692522,0.043776283,0,0,0,0,0,0,0.330247285,0.04707005,5
"bin_129, Bacteria, Actinobacteriota, Coriobacteriia, OPB41","bin_129","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","","","",0,0,0.117869652,1.574905595,4.012359907,36.42318825,3.274978663,10.09559126,11.06431652,4.787211374,0,0.033236491,0.049956784,0.064221289,0.06518763,0.082417405,0.137161301,0.045889002,0.516676368,0,0.57410524,0.143216105,0.463304568,0.254855912,0.122420742,0.524090232,0.147577699,5
"bin_141, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Lentimicrobiaceae","bin_141","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","","",0,0,0.030868916,0.60543497,0.823729506,0.810642731,0.343972991,46.46196343,38.76079129,2.021132064,0,0,0,0,0,0,0.035517667,0,0,0,0.048457002,0,0,0,0,0,0,5
"bin_135, Bacteria, Bacteroidota, UBA10030, UBA10030, UBA10030","bin_135","Bacteria","Bacteroidota","UBA10030","UBA10030","UBA10030","","",0,1.265095453,0.132177912,0.746326504,0.747721658,10.55057521,3.990120041,86.33250508,21.59090613,8.753339835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"bin_33, Bacteria, Nitrospirota, Thermodesulfovibrionia, Thermodesulfovibrionales","bin_33","Bacteria","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","","","",0,0,0,0.07668032,0.059069341,0.066278486,3.782117262,23.7658206,4.097493132,5.41297336,0,0,0,0,0,0.032449122,0.046671617,0,0.07158655,0,0.089094309,0,0.098845591,0.046545849,0,0.070357864,0,5
"bin_290, Bacteria, Chloroflexota, Anaerolineae, Thermoflexales","bin_290","Bacteria","Chloroflexota","Anaerolineae","Thermoflexales","","","",0.032468636,0.107655414,0.199544069,0.340633868,0.549636054,3.574825646,0.715763316,91.36840622,21.86387851,8.717014572,0,0,0.039909933,0.04219703,0,0.036467824,0.038659529,0,0.173260198,0,0.096854931,0,0.135843761,0.11181231,0.0440231,0.099136218,0,5
"bin_235, Bacteria, Acidobacteriota, Blastocatellia","bin_235","Bacteria","Acidobacteriota","Blastocatellia","","","","",0,0,0.082080109,1.254310149,0.939012428,44.51170096,3.725586899,12.77179982,28.15113639,5.814409177,0,0,0.07056401,0.051403368,0,0.05082568,0.04909589,0,0.363286081,0,0.186639752,0.059436001,0.40992236,0.192571184,0.047028538,0.149567574,0.031134683,5
"bin_396, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_396","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0,0.117370101,0.403264846,0.773031473,14.98979747,1.101410167,10.2594526,4.814254139,3.046048474,0.033051984,0,0.067099758,0.107822052,0,0,0.049783472,0,0.319702034,0,0.175445297,0.081462917,0.518487021,0.607215902,0.112548339,0.163725172,0.087551158,5
"bin_172, Bacteria, Actinobacteriota, Coriobacteriia, OPB41, ctinobacteria~7","bin_172","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","ctinobacteria~7","","",0,0,0,0.054982476,0.107341143,0.692012631,3.6024043,7.103575521,4.90192903,27.93582076,0,0,0,0,0,0,0.035610913,0.036472309,0.130945539,0,0.171815846,0.061330029,0.149353002,0.061321446,0.053632971,0.150758985,0.03756647,5
"bin_403, Bacteria, Nitrospirota, Thermodesulfovibrionia, Thermodesulfovibrionales","bin_403","Bacteria","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","","","",0,0.050691558,0,0.095474392,0.1511373,3.743544035,108.9478742,1.901219563,1.709733037,24.29864404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
